FID,est_geom,id_tup,idttup,concessionaria,status,numero,dtativacao,dataultimacomunicacao,siglauf,nomemunicipio,localidade,bairro,logradouro,complemento,cep,deficientecadeirante,deficienteaudio,vintequatrohoras,latitude,longitude,metadado
TUP.fid--3508969f_1758e5f878d_-1698,POINT (-47.970832 -19.733888),1482651487,149,CTBC,DISPONIVEL,(34) 33156456,20/03/2001,01/11/2018 07h11,MG,UBERABA,Uberaba,JARDIM UBERABA,AV JOSE SOLE FILHO,0,38057570,NAO,NAO,SIM,-19.733888,-47.970832,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-1697,POINT (-47.964166 -19.711111),1482651488,151,CTBC,DISPONIVEL,(34) 33136099,10/08/2000,01/11/2018 00h54,MG,UBERABA,Uberaba,UNIVERDECIDADE,AV RANDOLFO BORGES JUNIOR,0,38064200,NAO,NAO,SIM,-19.711111,-47.964166,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_3e74,POINT (-38.948888 -12.263333),1482738788,80175,OI,DISPONIVEL,(75) 36233006,22/06/2005,29/10/2020 05h10,BA,FEIRA DE SANTANA,Feira de Santana,PONTO CENTRAL,RUA FELINTO MARQUES CERQUEIRA,0,44075405,NAO,NAO,NAO,-12.263333,-38.948888,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_3e75,POINT (-38.976943 -12.254166),1482738789,80176,OI,DISPONIVEL,(75) 36230306,21/08/1995,27/10/2020 03h10,BA,FEIRA DE SANTANA,Feira de Santana,RUA NOVA,RUA TOME DE SOUZA,0,44023432,NAO,NAO,NAO,-12.254166,-38.976943,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_3e76,POINT (-38.954166 -12.245277),1482738790,80177,OI,DISPONIVEL,(75) 36250802,10/08/1998,28/10/2020 04h10,BA,FEIRA DE SANTANA,Feira de Santana,PONTO CENTRAL,AV MARIA QUITERIA,0,44075005,NAO,NAO,SIM,-12.245277,-38.954166,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_3ef1,POINT (-44.323332 -12.646388),1482738913,87660,OI,DISPONIVEL,(77) 36385097,06/09/2009,29/10/2020 03h10,BA,BAIANÓPOLIS,QUEIMADO I,CENTRO,RUA PRINCIPAL,0,47830000,NAO,NAO,SIM,-12.646388,-44.323332,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_3f28,POINT (-40.58361 -15.275832),1482738968,87198,OI,EM MANUTENCAO,(77) 34786000,19/11/2005,15/10/2020 03h10,BA,RIBEIRÃO DO LARGO,CAmPINARANA,CENTRO,RUA ITAMBE,0,45155000,NAO,NAO,SIM,-15.275832,-40.58361,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_3f31,POINT (-41.861111 -13.677499),1482738977,87478,OI,DISPONIVEL,(77) 34445577,05/08/2008,28/10/2020 01h10,BA,LIVRAMENTO DE NOSSA SENHORA,CAMPO ALEGRE,CENTRO,RUA PRINCIPAL,0,46140000,NAO,NAO,SIM,-13.677499,-41.861111,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_3f75,POINT (-38.748888 -11.607777),1482739045,83728,OI,DISPONIVEL,(75) 32672539,07/03/2009,29/10/2020 03h10,BA,BIRITINGA,BOA VISTA,CENTRO,RUA PRINCIPAL,0,48780000,NAO,NAO,SIM,-11.607777,-38.748888,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27db,POINT (-38.538055 -3.753611),1482712598,68450,OI,DISPONIVEL,(85) 34940229,29/12/1999,29/10/2020 03h10,CE,FORTALEZA,Fortaleza,JD AMERICA,TV SALGADINHO,0,60410480,NAO,NAO,SIM,-3.753611,-38.538055,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27da,POINT (-38.580277 -3.779721),1482712599,68451,OI,DISPONIVEL,(85) 34844758,01/09/1987,29/10/2020 01h10,CE,FORTALEZA,Fortaleza,BONSUCESSO,RUA SABIA,0,60520515,NAO,NAO,SIM,-3.779721,-38.580277,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d9,POINT (-38.516388 -3.729999),1482712600,68452,OI,DISPONIVEL,(85) 32542233,01/09/1987,29/10/2020 03h10,CE,FORTALEZA,Fortaleza,CENTRO,AV STOS DUMONT,0,60150160,NAO,NAO,NAO,-3.729999,-38.516388,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-27d8,POINT (-38.508888 -3.731943),1482712601,68453,OI,DISPONIVEL,(85) 32681136,01/09/1987,29/10/2020 06h10,CE,FORTALEZA,Fortaleza,ALDEOTA,AV STOS DUMONT,0,60150161,NAO,NAO,SIM,-3.731943,-38.508888,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
