FID,est_geom,id_tup,idttup,concessionaria,status,numero,dtativacao,dataultimacomunicacao,siglauf,nomemunicipio,localidade,bairro,logradouro,complemento,cep,deficientecadeirante,deficienteaudio,vintequatrohoras,latitude,longitude,metadado
TUP.fid--3508969f_1758ed087bb_-269d,POINT (-38.5 -3.833054),1482712916,68626,OI,DISPONIVEL,(85) 32767743,31/05/1999,29/10/2020 11h10,CE,FORTALEZA,Fortaleza,MESSEJANA,RUA STA EFIGENIA,,60871015,NAO,NAO,NAO,-3.833054,-38.5,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-269c,POINT (-38.49361 -3.742499),1482712917,68627,OI,DISPONIVEL,(85) 32615429,21/06/1999,29/10/2020 05h10,CE,FORTALEZA,Fortaleza,ALDEOTA,RUA PROF DIAS DA ROCHA,0,60170285,NAO,NAO,SIM,-3.742499,-38.49361,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-269b,POINT (-38.494166 -3.742499),1482712918,68628,OI,DISPONIVEL,(85) 32683065,01/09/1987,29/10/2020 05h10,CE,FORTALEZA,Fortaleza,ALDEOTA,RUA PROF DIAS DA ROCHA,,60170285,NAO,NAO,NAO,-3.742499,-38.494166,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-269a,POINT (-38.486944 -3.770832),1482712919,68629,OI,DISPONIVEL,(85) 32732845,01/09/1987,29/10/2020 04h10,CE,FORTALEZA,Fortaleza,ENG LUC CAVALCANTE,RUA EFESIO,,60811180,NAO,NAO,SIM,-3.770832,-38.486944,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2699,POINT (-38.5 -3.797499),1482712920,68630,OI,DISPONIVEL,(85) 32795306,07/07/1997,29/10/2020 12h10,CE,FORTALEZA,Fortaleza,CIDADE FUNCIONARIOS,AV DES GONZAGA,0,60823012,NAO,NAO,NAO,-3.797499,-38.5,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2698,POINT (-38.48861 -3.796388),1482712921,68631,OI,EM MANUTENCAO,(85) 32711643,01/10/1997,21/10/2020 11h10,CE,FORTALEZA,Fortaleza,CIDADE FUNCIONARIOS,AV OLIVEIRA PAIVA,0,60822130,NAO,NAO,SIM,-3.796388,-38.48861,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2697,POINT (-38.521388 -3.746944),1482712922,68632,OI,DISPONIVEL,(85) 32542211,01/09/1987,24/10/2020 09h10,CE,FORTALEZA,Fortaleza,JOAQUIM TAVORA,AV VSC DO RIO BRANCO,0,60055172,NAO,NAO,NAO,-3.746944,-38.521388,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2594,POINT (-38.526666 -3.8125),1482713180,68633,OI,DISPONIVEL,(85) 34828301,12/02/2001,29/10/2020 12h10,CE,FORTALEZA,Fortaleza,PASSARE,RUA DR PEDRO SAMPAIO,0,60861500,NAO,NAO,NAO,-3.8125,-38.526666,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2593,POINT (-38.564166 -3.800277),1482713181,68634,OI,EM MANUTENCAO,(85) 32967424,29/01/2001,08/07/2019 08h07,CE,FORTALEZA,Fortaleza,JD CEARENSE,RUA 10 CJ CAMPO DOS INGLESES,0,60712290,NAO,NAO,NAO,-3.800277,-38.564166,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2592,POINT (-38.602222 -3.724999),1482713182,68635,OI,DISPONIVEL,(85) 32595752,23/01/1998,29/10/2020 09h10,CE,FORTALEZA,Fortaleza,MARECHAL RONDON,AV S VICENTE DE PAULA,0,61652140,NAO,NAO,SIM,-3.724999,-38.602222,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2591,POINT (-38.525277 -3.789999),1482713183,68636,OI,DISPONIVEL,(85) 32594410,16/04/1996,29/10/2020 09h10,CE,FORTALEZA,Fortaleza,MARECHAL RONDON,RUA NOVA GRANADA,0,61652370,NAO,NAO,NAO,-3.789999,-38.525277,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2590,POINT (-38.534999 -3.756388),1482713184,68637,OI,EM MANUTENCAO,(85) 32818535,02/02/1999,24/10/2020 03h10,CE,FORTALEZA,Fortaleza,FATIMA,AV TREZE DE MAIO,0,60040531,NAO,NAO,NAO,-3.756388,-38.534999,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-258f,POINT (-38.521666 -3.831666),1482713185,68638,OI,DISPONIVEL,(85) 32131150,01/09/1987,29/10/2020 06h10,CE,FORTALEZA,Fortaleza,CJ NOVA METROPOLE,AV CONTORNO NORTE CJ NOVA METROPOLE,0,61658010,SIM,NAO,SIM,-3.831666,-38.521666,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-258e,POINT (-38.560833 -3.743888),1482713186,68639,OI,DISPONIVEL,(85) 32132420,25/09/1997,29/10/2020 08h10,CE,FORTALEZA,Fortaleza,CJ NOVA METROPOLE,AV CONTORNO SUL,0,60540805,NAO,NAO,NAO,-3.743888,-38.560833,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-258d,POINT (-38.539166 -3.739999),1482713187,68640,OI,DISPONIVEL,(85) 32143275,30/09/1997,29/10/2020 04h10,CE,FORTALEZA,Fortaleza,BENFICA,AV TREZE DE MAIO,0,60040212,NAO,NAO,NAO,-3.739999,-38.539166,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-258c,POINT (-38.558333 -3.775277),1482713188,68641,OI,DISPONIVEL,(85) 32926185,01/09/1987,29/10/2020 02h10,CE,FORTALEZA,Fortaleza,PARANGABA,RUA GUARA,0,60740140,NAO,NAO,NAO,-3.775277,-38.558333,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-258b,POINT (-38.476388 -3.73111),1482713189,68642,OI,DISPONIVEL,(85) 32751932,03/05/2001,29/10/2020 05h10,CE,FORTALEZA,Fortaleza,CANTO VERDE,AV ANTONIO SOBREIRA,,61760000,NAO,NAO,NAO,-3.73111,-38.476388,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-258a,POINT (-38.565833 -3.74861),1482713190,68643,OI,DISPONIVEL,(85) 34824753,31/03/2001,29/10/2020 02h10,CE,FORTALEZA,Fortaleza,BELA VISTA,RUA ARGENTINA,0,60442440,SIM,NAO,SIM,-3.74861,-38.565833,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2589,POINT (-38.525277 -3.789999),1482713191,68644,OI,DISPONIVEL,(85) 34752180,01/09/1987,29/10/2020 08h10,CE,FORTALEZA,Fortaleza,ENG LUC CAVALCANTE,AV CENTRAL OESTE LOT SITIO TUNGA,0,60813840,NAO,NAO,NAO,-3.789999,-38.525277,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2588,POINT (-38.639999 -3.767221),1482713192,68645,OI,DISPONIVEL,(85) 34750367,30/03/2001,29/10/2020 05h10,CE,FORTALEZA,Fortaleza,ARATURI,RUA W18,0,60331101,NAO,NAO,SIM,-3.767221,-38.639999,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758ed087bb_-2587,POINT (-38.575277 -3.836388),1482713193,68646,OI,DISPONIVEL,(85) 34631625,31/12/1999,29/10/2020 03h10,CE,FORTALEZA,Fortaleza,LT CIDADE NOVA,RUA SOL UM,0,60766690,NAO,NAO,SIM,-3.836388,-38.575277,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
